index,note,position_right_wall,sounding_length,frequency
1,F,938,837,87.30706
2,G,927,826,97.99886
3,A,916.5,815.5,110.0000
4,Bb,902.5,801.5,116.5409
5,B,888.5,787.5,123.4708
6,c,875.5,774.5,130.8128
7,c#,836,735,138.5913
8,d,788,687,146.8324
9,eb,774,673,155.5635
10,e,731,630,164.8138
11,f,699,598,174.6141
12,f#,665.5,565,184.9972
13,g,655,554,195.9977
14,ab,627,526,207.6523
15,a,593,492,220.0000
16,bb,582,481.5,233.0819
17,b,549,448,246.9417
18,c1,528.5,427.5,261.6256
19,c#1,506,405,277.1826
20,d1,495.5,394.5,293.6648
21,eb1,474,373,311.1270
22,e1,449.5,348.5,329.6276
23,f1,437.5,336.5,349.2282
24,f#1,420.5,319.5,369.9944
25,g1,398,297,391.9954
26,ab1,383,282,415.3047
27,a1,371,270.5,440.0000
28,bb1,357.5,256.5,466.1638
29,b1,342.5,241.5,493.8833
30,c2,328.5,227.5,523.2511
31,c#2,317.5,216.5,554.3653
32,d2,302.5,202,587.3295
33,e2b,291,190,622.2540
34,e2,280,179.5,659.2551
35,f2,270.5,169.5,698.4565
36,f#2,262,161,739.9888
37,g2,251,150.5,783.9909
38,ab2,241.5,140.5,830.6094
39,a2,232,131,880.0000
40,bb2,226.5,125.5,932.3275
41,b2,217,116,987.7666
42,c3,210.5,109.5,1046.502
43,c#3,203,102,1108.731
44,d3,199,98,1174.659
45,eb3,192.5,91.5,1244.508
46,e3,186,85,1318.510
47,f3,180.5,79.5,1396.913
