index,note,position,frequency
1,F,938,87.30706
2,G,927,97.99886
3,A,916.5,110.0000
4,Bb,902.5,116.5409
5,B,888.5,123.4708
6,c,875.5,130.8128
7,c#,836,138.5913
8,d,788,146.8324
9,eb,774,155.5635
10,e,731,164.8138
11,f,699,174.6141
12,f#,665.5,184.9972
13,g,655,195.9977
14,ab,627,207.6523
15,a,593,220.0000
16,bb,582,233.0819
17,b,549,246.9417
18,c1,528.5,261.6256
19,c#1,506,277.1826
20,d1,495.5,293.6648
21,eb1,474,311.1270
22,e1,449.5,329.6276
23,f1,437.5,349.2282
24,f#1,420.5,369.9944
25,g1,398,391.9954
26,ab1,383,415.3047
27,a1,371,440.0000
28,bb1,357.5,466.1638
29,b1,342.5,493.8833
30,c2,328.5,523.2511
31,c#2,317.5,554.3653
32,d2,302.5,587.3295
33,e2b,291,622.2540
34,e2,280,659.2551
35,f2,270.5,698.4565
36,f#2,262,739.9888
37,g2,251,783.9909
38,ab2,241.5,830.6094
39,a2,232,880.0000
40,bb2,226.5,932.3275
41,b2,217,987.7666
42,c3,210.5,1046.502
43,c#3,203,1108.731
44,d3,199,1174.659
45,eb3,192.5,1244.508
46,e3,186,1318.510
47,f3,180.5,1396.913
